sentence_text,sentence_start,file_id,KAYCEE,KAYCEE_annotation,KATHLEEN,KATHLEEN_annotation,LIZ,LIZ_annotation
"Transfusion of the wrong type of blood very rarely occurs but when it does, it can be fatal.",1388,95581557,,,,,,
AUTOLOGOUS AND DONOR,1482,95581557,,,,,,
DIRECTED: These risks also pertain to the following:,1503,95581557,,,,,,
A. Autologous transfusion (prearrangement for the donation of my own blood which is stored and transfused back to me under the direction of my doctor).,1557,95581557,,,,,,
B. Directed donor (prearrangement for the donation of blood by compatible family members or friends which is stored and transfused back to me under the direction of my doctor).,1710,95581557,,,,,,
ALTERNATIVES:,1888,95581557,,,,,,
The alternative methods to transfusion and the option of refusing have been explained to me.,1902,95581557,,,,,,
understand that it may be impossible for me to use one of these alternative methods.,1995,95581557,,,,,,
"However, I have been told that if I do not have enough blood or critical blood components, I may go into shock or a coma and/or suffer very serious harm or even death.",2080,95581557,,,,,,
"In these situations, I understand there is NO EFFECTIVE ALTERNATIVE TO BLOOD TRANSFUSION.",2248,95581557,,,,,,
"Before 1-sign this form, I know I can talk to my doctor to have my questions answered.",2338,95581557,,,,,,
I have read (or have had read to me),2426,95581557,,,,,,
this Consent to Receive Blood and/or Blood Products.,2463,95581557,,,,,,
I understand the risks and hazards of treatment and non-treatment and the procedures to be used.,2516,95581557,,,,,,
"By signing this form, I am requesting and giving my consent for MHSM and the doctors and/or nurses to give me blood and/o blood products during this admission or series of treatments.",2613,95581557,['A'],"By signing this form, I am requesting and giving my consent for MHSM and the doctors and/or nurses to give me blood and/o blood products during this admission or series of treatments.",['A'],"By signing this form, I am requesting and giving my consent for MHSM and the doctors and/or nurses to give me blood and/o blood products during this admission or series of treatments.",['A'],"By signing this form, I am requesting and giving my consent for MHSM and the doctors and/or nurses to give me blood and/o blood products during this admission or series of treatments."
I have been given the chance to refuse the transfusion(s).,2797,95581557,,,,,,
"I understand if I change my mind before the transfusion(s) are given, I must tell my doctor immediately.",2857,95581557,,,,,,
"In order to then refuse blood and/or blood products, I must sign a new Refusal to Receive transfusion of Blood and/or Blood Products.",2962,95581557,,,,,,
"Signature of Patient or Person authorized for Consent Date Time 
Relationship to Patient 
Witnessed by Date Time",3097,95581557,,,,,,
"Illllll lllll 111111111111111111 
 2 9 8 3",3211,95581557,,,,,,
 ,3255,95581557,,,,,,
/msl,3257,95581557,,,,,,
(04/27/17),3262,95581557,,,,,,
GR2983,3273,95581557,,,,,,
Patient Name,0,69408590,,,,,,
_,12,69408590,,,,,,
_,13,69408590,,,,,,
_,14,69408590,,,,,,
_________________________,15,69408590,,,,,,
_ Date of Birth,40,69408590,,,,,,
_,56,69408590,,,,,,
_,57,69408590,,,,,,
_,58,69408590,,,,,,
_________________,59,69408590,,,,,,
General Consent to Treat,78,69408590,,,,,,
I voluntarily consent to medical care of a routine/emergency nature form the authorized professional staff of the Foot and Ankle Center of NWPA for myself or the above-mentioned minor for whom I am the parent/guardian.,104,69408590,['A'],I voluntarily consent to medical care of a routine/emergency nature form the authorized professional staff of the Foot and Ankle Center of NWPA for myself or the above-mentioned minor for whom I am the parent/guardian.,['A'],I voluntarily consent to medical care of a routine/emergency nature form the authorized professional staff of the Foot and Ankle Center of NWPA for myself or the above-mentioned minor for whom I am the parent/guardian.,['A'],I voluntarily consent to medical care of a routine/emergency nature form the authorized professional staff of the Foot and Ankle Center of NWPA for myself or the above-mentioned minor for whom I am the parent/guardian.
I authorize the release of any and all medical records and information obtained through my medical evaluation to those individuals that my doctor feels appropriate for my continued medical care.,323,69408590,['A'],I authorize the release of any and all medical records and information obtained through my medical evaluation to those individuals that my doctor feels appropriate for my continued medical care.,['A'],I authorize the release of any and all medical records and information obtained through my medical evaluation to those individuals that my doctor feels appropriate for my continued medical care.,,
"I understand that I have the right to a full disclosure of the nature of any medical treatment received or proposed to be rendered and the risks, if any, involved and alternative means available.",519,69408590,,,,,,
It is understood that I may withdraw this consent at any time by contacting any member of the professional staff in writing.,716,69408590,,,,,,
Financial Agreement,843,69408590,,,,,,
"I authorize payment to the Foot and Ankle Center of NWPA of any medical benefits, which would otherwise by payable to me and which were established by my insurance company.",864,69408590,,,,,,
The amount paid to the Foot and Ankle Center of NWPA shall not exceed the practice s regular charges for the services.,1037,69408590,,,,,,
I also authorize the release of my medical records to my insurance company/companies or other third party payers or my employer as required for the collection of payments.,1157,69408590,,,,,,
I understand that I am responsible for the payment of charges that are not paid by my insurance company.,1329,69408590,,,,,,
Medicare Agreement,1436,69408590,,,,,,
The information provided by me in applying for payment of Social Security benefits is true and correct.,1456,69408590,,,,,,
I also authorize the physician to initiate a complaint to the insurance commissioner for any reason on my behalf.,1561,69408590,,,,,,
I request that the payment of benefits be made for me.,1676,69408590,,,,,,
The benefits due to me for services provided by my physician shall be paid directly to the Foot and Ankle Center of NWPA.,1731,69408590,,,,,,
In the event the physician does not receive such payment I authorize such physician to submit a claim to Medicare on my behalf.,1853,69408590,,,,,,
"If my current policy prohibits direct payment to the Foot and Ankle Center of NWPA, I hereby direct the check made out to me and mailed to Regional Health Services, Inc, 717 State Street, Suite 15, Erie, PA 16501.",1982,69408590,,,,,,
Payment Agreement,2198,69408590,,,,,,
Our office requests that you read your insurance policy and by fully aware of any limitations of the benefits provided.,2217,69408590,,,,,,
You should be aware that this insurance agreement is between you and the insurance company.,2337,69408590,,,,,,
"We will gladly help,",2429,69408590,,,,,,
you but it is your responsibility to know the limitations or your policy.,2450,69408590,,,,,,
Any change incurred beyond the reimbursement of your policy will be your financial responsibility.,2524,69408590,,,,,,
I have read the above and understand my financial obligation.,2624,69408590,,,,,,
Patient Signature,2687,69408590,,,,,,
_,2704,69408590,,,,,,
_,2705,69408590,,,,,,
_,2706,69408590,,,,,,
__________________________________________ Date,2707,69408590,,,,,,
_,2754,69408590,,,,,,
_,2755,69408590,,,,,,
_,2756,69408590,,,,,,
___________________,2757,69408590,,,,,,
_,2776,69408590,,,,,,
Spouse/Guarantor Signature/Relationship____________________________________________________,2778,69408590,,,,,,
_ Witness_____________________________________________________Date,2869,69408590,,,,,,
_,2935,69408590,,,,,,
_,2936,69408590,,,,,,
_,2937,69408590,,,,,,
____________________,2938,69408590,,,,,,
"Informed
Consent for Genetic Testing Patient's Name:",0,36073164,,,,,,
_,52,36073164,,,,,,
_,53,36073164,,,,,,
_,54,36073164,,,,,,
_,55,36073164,,,,,,
______________,56,36073164,,,,,,
_ Patient's ID Number:,70,36073164,,,,,,
_,93,36073164,,,,,,
_,94,36073164,,,,,,
_,95,36073164,,,,,,
_,96,36073164,,,,,,
___________,97,36073164,,,,,,
_,108,36073164,,,,,,
Patient's Date of Birth:,110,36073164,,,,,,
_,134,36073164,,,,,,
_,135,36073164,,,,,,
_,136,36073164,,,,,,
_,137,36073164,,,,,,
____________,138,36073164,,,,,,
Ordering Provider's Name:,151,36073164,,,,,,
_,177,36073164,,,,,,
_,178,36073164,,,,,,
_,179,36073164,,,,,,
_,180,36073164,,,,,,
__________,181,36073164,,,,,,
Note to the Ordering Health Care Provider,192,36073164,,,,,,
": Some states require that patients (or their authorized representatives) provide their written informed consent prior to receiving genetic testing, and that the ordering health care provider maintain documentation ofthe informed consent in the patient's medical record.",233,36073164,,,,,,
This form is intended to assist you with obtaining the patient's informed consent in accordance with applicable law.,504,36073164,,,,,,
"As the patient/patient's authorized representative, I understand the following and freely give my consent to this genetic testing: General description and purpose of the test-My health care provider has recommended that I (or my child) receive the following genetic test:",621,36073164,['A'],"As the patient/patient's authorized representative, I understand the following and freely give my consent to this genetic testing: General description and purpose of the test-My health care provider has recommended that I (or my child) receive the following genetic test: ________________ My health care provider has explained that the purpose ofthis test is to look for mutations or genetic alterations known to be associated with the following genetic disease(s), condition(s), or pharmaceutical therapy: _______________ I have reviewed information about this specific test and the relevant disease(s) or condition(s) tested for with my health care provider, and my health care provider has explained the test's risks and benefits. (Test-specific information is available on the LabCorp or LabCorp affiliate web site at https://www.labcorp.com).",['A'],"As the patient/patient's authorized representative, I understand the following and freely give my consent to this genetic testing:",['A'],"As the patient/patient's authorized representative, I understand the following and freely give my consent to this genetic testing:"
_,895,36073164,,,,,,
_,896,36073164,,,,,,
_,897,36073164,,,,,,
_,898,36073164,,,,,,
___________,899,36073164,,,,,,
_,910,36073164,,,,,,
 ,912,36073164,,,,,,
"My health care provider has explained that the purpose ofthis test is to look for mutations or genetic alterations known to be associated with the following genetic disease(s), condition(s), or pharmaceutical therapy:",914,36073164,,,['C'],"My health care provider has explained that the purpose ofthis test is to look for mutations or genetic alterations known to be associated with the following genetic disease(s), condition(s), or pharmaceutical therapy: _______________",['C'],"My health care provider has explained that the purpose ofthis test is to look for mutations or genetic alterations known to be associated with the following genetic disease(s), condition(s), or pharmaceutical therapy: _______________"
_,1132,36073164,,,,,,
_,1133,36073164,,,,,,
_,1134,36073164,,,,,,
_,1135,36073164,,,,,,
__________,1136,36073164,,,,,,
_,1146,36073164,,,,,,
"I have reviewed information about this specific test and the relevant disease(s) or condition(s) tested for with my health care provider, and my health care provider has explained the test's risks and benefits.",1148,36073164,,,,,,
(Test-specific information is available on the LabCorp or LabCorp affiliate web site at https://www.labcorp.com).,1359,36073164,,,,,,
 ,1473,36073164,,,,,,
Limitations of the test-,1475,36073164,,,,,,
This test analyzes specific gene regions and does not rule out the possibility of an undetected variant in other gene regions.,1499,36073164,,,,,,
Donor DNA from transplants and recent transfusions can lead to inaccurate results.,1626,36073164,,,,,,
"As in any laboratory test, there is a possibility of error.",1709,36073164,,,,,,
 ,1769,36073164,,,,,,
Availability of genetic counseling before and after testing-I have been provided with information about obtaining genetic counseling prior to giving my consent for this testing.,1771,36073164,,,,,,
"I further understand that my health care provider may recommend consultation with a medical geneticist, genetic counselor, and/or a physician after the testing is completed.",1949,36073164,,,,,,
 ,2123,36073164,,,,,,
Meaning ofa positive test result,2125,36073164,,,,,,
-A positive test result is an indication that I (or my child) may be predisposed to or have the specific disease(s) or condition(s) tested for.,2157,36073164,,,,,,
I may wish to consider further independent testing and/or to consult a physician or genetic counselor.,2301,36073164,,,,,,
I further understand that the ability of genetic testing to provide risk information and the level of certainty associated with a positive test result vary with the type of test.,2404,36073164,,,,,,
"If applicable, I have been provided with information about the level of certainty of a positive result for this test.",2583,36073164,,,,,,
ILabCorp www.,2701,36073164,,,,,,
LabCorp.com ,2714,36073164,,,,,,
2017 Laboratory Corporation of America ,2727,36073164,,,,,,
Holdings,2767,36073164,,,,,,
All rights reserved.,2776,36073164,,,,,,
17231-0717 ,2797,36073164,,,,,,
Meaning of a negative test result-,2810,36073164,,,,,,
A negative test result indicates that the clinically significant variant tested was not detected.,2844,36073164,,,,,,
"Negative results may also be due to: (1) maternal contamination of prenatal samples; (2) technical reasons (ie, poor sample quality); and/or (3) the need to test other family members.",2942,36073164,,,,,,
I have discussed information about the detection rate for the disease(s)/condition(s) with my health care provider and understand that a negative result does not guarantee that I (or my child) will not develop the disease/condition for which testing was performed.,3126,36073164,,,,,,
 ,3391,36073164,,,,,,
Additional acknowledgments concerning the results of prenatal testing-I understand that normal or negative test results do not guarantee the birth of a child without the specific disease or birth defect for which testing was performed.,3393,36073164,,,,,,
"In addition, a percentage of all pregnancies have birth defects that cannot be detected by testing chorionic villi, amniotic fluid, or by ultrasound examination.",3629,36073164,,,,,,
"In the case of twins or other multiple fetuses, the results may pertain to only one of the fetuses.",3791,36073164,,,,,,
"In the case of abnormal or positive test results, the decision to continue or to terminate the pregnancy is entirely mine.",3891,36073164,,,,,,
 ,4014,36073164,,,,,,
Disclosure of test results-,4016,36073164,,,,,,
All tests are confidential and will be disclosed only to the ordering health care provider (or his or her designated representative) unless otherwise authorized by the patient in writing or required by law.,4043,36073164,,,,,,
 ,4250,36073164,,,,,,
Retention of specimens-,4252,36073164,['C'],Retention of specimens-No tests other than those authorized by my health care provider will be performed on my (or my child's) sample.,,,,
No tests other than those authorized by my health care provider will be performed on my (or my child's) sample.,4275,36073164,,,,,,
"The sample will be destroyed at the end of the testing process or not more than 60 days after the sample was taken, unless I expressly authorize a longer period of retention in writing.",4387,36073164,['C'],"The sample will be destroyed at the end of the testing process or not more than 60 days after the sample was taken, unless I expressly authorize a longer period of retention in writing.",,,,
Your signature below indicates that you understand to your satisfaction the information about the genetic testing ordered by your health care provider and that you consent to having this testing performed.,4573,36073164,['A'],Your signature below indicates that you understand to your satisfaction the information about the genetic testing ordered by your health care provider and that you consent to having this testing performed.,['A'],Your signature below indicates that you understand to your satisfaction the information about the genetic testing ordered by your health care provider and that you consent to having this testing performed.,['A'],Your signature below indicates that you understand to your satisfaction the information about the genetic testing ordered by your health care provider and that you consent to having this testing performed.
Signature of Patient or Date Patient's Authorized Representative Relationship to Patient Date,4779,36073164,,,,,,
(If the Patient's Authorized Representative) Signature of Ordering Health Care Provider Date,4873,36073164,,,,,,
"Department of Obstetrics and Gynecology Center for Health and Healing 
 
University Fertility Consultants",0,37497740,,,,,,
3303 SW Bond Ave.,132,37497740,,,,,,
", CH10F 
 
Andrology/Embryology Laboratory Portland, OR 97239",149,37497740,,,,,,
www.fertilityoregon.com,228,37497740,,,,,,
TEL 503-418-3700 FAX 503-418-3708,264,37497740,,,,,,
RECIPIENT CONSENT FORM,303,37497740,,,,,,
"I/We,",327,37497740,['A'],"I/We, _____________________________________________ desire to be therapeutically inseminated for the purpose of conceiving a child to be treated in all respects as the natural child of myself/ourselves, freely and knowingly agreeing to the terms of this consent and understanding that I/we are bound to it.",['A'],"I/We, _____________________________________________ desire to be therapeutically inseminated for the purpose of conceiving a child to be treated in all respects as the natural child of myself/ourselves, freely and knowingly agreeing to the terms of this consent and understanding that I/we are bound to it.",['A'],"I/We, _____________________________________________ desire to be therapeutically inseminated for the purpose of conceiving a child to be treated in all respects as the natural child of myself/ourselves, freely and knowingly agreeing to the terms of this consent and understanding that I/we are bound to it."
"_____________________________________________ desire to be therapeutically inseminated for the purpose of conceiving a child to be treated in all respects as the natural child of myself/ourselves, freely and knowingly agreeing to the terms of this consent and understanding that I/we are bound to it.",333,37497740,,,,,,
I,637,37497740,['A'],"I/We agree and consent that I/we will obtain the necessary sperm from a donor who shall not be advised of the identity of myself/ourselves, nor shall I/we ever be advised of the identity of the donor.",['A'],"I/We agree and consent that I/we will obtain the necessary sperm from a donor who shall not be advised of the identity of myself/ourselves, nor shall I/we ever be advised of the identity of the donor.",['A'],"I/We agree and consent that I/we will obtain the necessary sperm from a donor who shall not be advised of the identity of myself/ourselves, nor shall I/we ever be advised of the identity of the donor."
"/We agree and consent that I/we will obtain the necessary sperm from a donor who shall not be advised of the identity of myself/ourselves, nor shall I/we ever be advised of the identity of the donor.",638,37497740,,,,,,
"It is also agreed that frozen donor sperm, quarantined for HIV (the AIDS virus) and Hepatitis C virus, will be used.",838,37497740,['C'],"It is also agreed that frozen donor sperm, quarantined for HIV (the AIDS virus) and Hepatitis C virus, will be used.",['A'],"It is also agreed that frozen donor sperm, quarantined for HIV (the AIDS virus) and Hepatitis C virus, will be used.",['A'],"It is also agreed that frozen donor sperm, quarantined for HIV (the AIDS virus) and Hepatitis C virus, will be used."
I/,956,37497740,,,,,,
"We hereby take cognizance of the fact that within the normal human population a certain percentage of children with physical or mental defects are born, and that University Andrology Laboratory/University Fertility Consultants cannot and will not be held responsible for the physical and mental characteristics of any child born as a result of therapeutic insemination.",958,37497740,,,,,,
I/,1329,37497740,['A'],I/We therefore agree not to take any legal action whatsoever against University Andrology Laboratory/University Fertility Consultants personnel in the event of a physically or mentally deficient child.,,,['A'],I/We therefore agree not to take any legal action whatsoever against University Andrology Laboratory/University Fertility Consultants personnel in the event of a physically or mentally deficient child.
We therefore agree not to take any legal action whatsoever against University Andrology Laboratory/University Fertility Consultants personnel in the event of a physically or mentally deficient child.,1331,37497740,,,,,,
"It is further understood and agreed that the nature of this agreement is such that it must remain confidential; therefore, I/we agree that the sole copy of this document will be maintained in the University Andrology Laboratory's confidential files.",1532,37497740,['A'],"It is further understood and agreed that the nature of this agreement is such that it must remain confidential; therefore, I/we agree that the sole copy of this document will be maintained in the University Andrology Laboratory's confidential files.",,,,
_,1819,37497740,,,,,,
_,1820,37497740,,,,,,
_,1821,37497740,,,,,,
_,1822,37497740,,,,,,
_______________________________________,1823,37497740,,,,,,
___,1873,37497740,,,,,,
_ /,1876,37497740,,,,,,
_,1880,37497740,,,,,,
__,1881,37497740,,,,,,
_ /,1883,37497740,,,,,,
_,1887,37497740,,,,,,
_,1888,37497740,,,,,,
____,1889,37497740,,,,,,
_____________________,1899,37497740,,,,,,
Recipient Signature Date Med.,1922,37497740,,,,,,
Rec.,1985,37497740,,,,,,
#,1990,37497740,,,,,,
_,1993,37497740,,,,,,
_,1994,37497740,,,,,,
_,1995,37497740,,,,,,
________________________________________,1996,37497740,,,,,,
___,2047,37497740,,,,,,
_ /,2050,37497740,,,,,,
_,2054,37497740,,,,,,
__,2055,37497740,,,,,,
_ /,2057,37497740,,,,,,
_,2061,37497740,,,,,,
_,2062,37497740,,,,,,
____,2063,37497740,,,,,,
_____________________,2073,37497740,,,,,,
Husband/Partner Signature Date Med.,2096,37497740,,,,,,
Rec.,2165,37497740,,,,,,
# _,2170,37497740,,,,,,
_,2175,37497740,,,,,,
_,2176,37497740,,,,,,
________________________________________,2177,37497740,,,,,,
___,2228,37497740,,,,,,
_ /,2231,37497740,,,,,,
_,2235,37497740,,,,,,
__,2236,37497740,,,,,,
_ /,2238,37497740,,,,,,
_,2242,37497740,,,,,,
_____,2243,37497740,,,,,,
OHSU Clinical Staff Witness Signature,2250,37497740,,,,,,
Date Patient Identity confirmed,2298,37497740,,,,,,
_,2353,37497740,,,,,,
_,2354,37497740,,,,,,
_,2355,37497740,,,,,,
________________________________________ by .,2356,37497740,,,,,,
Drivers License or other:,2403,37497740,,,,,,
_,2429,37497740,,,,,,
_,2430,37497740,,,,,,
_,2431,37497740,,,,,,
_,2432,37497740,,,,,,
________________________,2433,37497740,,,,,,
"OHSU Clinical Staff Witness Print 
 

To be notarized below if not witnessed by OHSU Clinical Staff as described above: 
 State of",2459,37497740,,,,,,
_________________,2591,37497740,,,,,,
", County of",2608,37497740,,,,,,
______________________________,2630,37497740,,,,,,
Signed or attested before me on,2662,37497740,,,,,,
_,2694,37497740,,,,,,
__,2695,37497740,,,,,,
_ /,2697,37497740,,,,,,
_,2701,37497740,,,,,,
__,2702,37497740,,,,,,
_ /,2704,37497740,,,,,,
_,2708,37497740,,,,,,
_____ .,2709,37497740,,,,,,
_,2738,37497740,,,,,,
_,2739,37497740,,,,,,
_,2740,37497740,,,,,,
_,2741,37497740,,,,,,
______________________________________________________ Notary Public Signature Notary Public for _,2742,37497740,,,,,,
_,2844,37497740,,,,,,
_____________,2845,37497740,,,,,,
_,2858,37497740,,,,,,
My commission expires,2859,37497740,,,,,,
__,2881,37497740,,,,,,
_,2883,37497740,,,,,,
/,2885,37497740,,,,,,
_,2887,37497740,,,,,,
_,2888,37497740,,,,,,
_,2889,37497740,,,,,,
/,2891,37497740,,,,,,
_,2892,37497740,,,,,,
____,2893,37497740,,,,,,
"CONSENT 
DEPARTMENT OF PSYCHIATRY AND BEHAVIORAL SCIENCES 
Patient Identification Information 
Consent for ElectroConvulsive Therapy",0,24000641,,,,,,
"(ECT) Page 1 of 2 
Date: Patient Name (Print) 
1)",133,24000641,,,,,,
"I, the undersigned, understand the potential benefits as well as the potential risks involved in treatment of my diagnosis of 
 by means of ECT.",183,24000641,,,,,,
"I acknowledge that Dr. has explained the purpose of the procedure, the risks/benefits of the procedure, the alternatives with the risks and benefits and the possibility of complications.",328,24000641,,,,,,
I hereby give my consent and authorize and request the staff of the Johns Hopkins Hospital to give a series of ECT treatments to me.,517,24000641,['A'],I hereby give my consent and authorize and request the staff of the Johns Hopkins Hospital to give a series of ECT treatments to me.,['A'],I hereby give my consent and authorize and request the staff of the Johns Hopkins Hospital to give a series of ECT treatments to me.,['A'],I hereby give my consent and authorize and request the staff of the Johns Hopkins Hospital to give a series of ECT treatments to me.
My doctor intends to begin the treatment course with one of the following (check one):,650,24000641,,,,,['C'],My doctor intends to begin the treatment course with one of the following (check one): Unilateral treatments: Specify right or left Bilateral treatments The lead placement may be altered during the treatment series based on the clinical response
Unilateral treatments:,738,24000641,,,,,,
Specify right or left Bilateral treatments,761,24000641,,,,,,
"The lead placement may be altered during the treatment series based on the clinical response 
2)",808,24000641,,,,,,
The indications of ECT have been explained to me in a manner that I understand.,905,24000641,,,['C'],"The indications of ECT have been explained to me in a manner that I understand. These include psychiatric disorders such as major depression, bipolar disorder, schizophrenia, catatonia and other conditions as explained by the provider.",,
"These include psychiatric disorders such as major depression, bipolar disorder, schizophrenia, catatonia and other conditions as explained by the provider.",985,24000641,,,,,,
3),1142,24000641,,,,,,
The benefits and likelihood of success of ECT have been explained to me in a manner that I understand.,1145,24000641,,,,,,
These include improvement of mood and psychiatric condition.,1248,24000641,,,,,,
ECT has been shown to be a highly effective treatment.,1309,24000641,,,,,,
4),1365,24000641,,,,,,
The major risks and complications of ECT have been explained to me in a manner that I understand.,1368,24000641,,,,,,
"These may include such items as failure to obtain the desired result, discomfort, injury, need for additional treatment(s) and death.",1466,24000641,,,,,,
"Additional risks include: 
 ",1601,24000641,,,,,,
"Some patients have difficulty forming new memories while getting ECT which, once ECT is stopped, should resolve 

 
Memory difficulty for the period surrounding the treatment is to be expected 

 ",1631,24000641,,,,,,
"All patients experience some degree of permanent loss of memories around the time of treatment, although many of those lost memories may return 

 ",1830,24000641,,,,,,
"A small percentage (1/200) of patients report severe problems in memory that persist 

 ",1979,24000641,,,,,,
"Although rare, there is a very small chance that some of the procedure may be recalled after the treatment 

 ",2069,24000641,,,,,,
"Myocardial infarct (heart attack) or stroke are rare 

 ",2181,24000641,,,,,,
"Dislocations or bone fractures are extremely rare 

 ",2239,24000641,,,,,,
"Risk of damage to fragile teeth 


5)",2294,24000641,,,,,,
"The reasonable alternatives, including major risks, benefits, and/or side effects, have been explained to me in a manner I understand.",2332,24000641,,,,,,
"These include: 
Alternatives (choose all applicable):",2467,24000641,,,,,,
"Major Risks, Benefits, and Side Effects of Each Alternative: 
 Not undergo procedure listed above Possible progression of disease, no improvements in symptoms or condition, possible death.",2521,24000641,,,,,,
Benefits include not incurring risks associated with the above.,2710,24000641,,,,,,
Medication A non-invasive method that may not effectively treat the psychiatric condition with possible 6-8 weeks to achieve the desired outcome and with potential side effects such as orthostatic hypotension and cardiac arrhythmias.,2776,24000641,,,,,,
Benefits include not incurring risks associated with the procedure.,3010,24000641,,,,,,
A non-invasive method which is most effective when paired with medication over time and may not Psychotherapy effectively treat the severe psychiatric condition.,3079,24000641,,,,,,
Benefits include not incurring risks associated with the procedure.,3242,24000641,,,,,,
6),3311,24000641,,,,,,
"During the procedure, the provider may become aware of conditions which were not apparent before the start of the procedure.",3314,24000641,,,,,,
"I consent to additional or different operations or procedures the provider considers necessary or appropriate to diagnose, treat, or cure such conditions.",3439,24000641,['A'],"I consent to additional or different operations or procedures the provider considers necessary or appropriate to diagnose, treat, or cure such conditions.",,,['A'],"I consent to additional or different operations or procedures the provider considers necessary or appropriate to diagnose, treat, or cure such conditions."
7),3595,24000641,,,,,,
"Due to the risk of confusion and memory loss, it is important to avoid driving and making important personal or business decisions during the ECT course.",3598,24000641,,,,,,
"After the acute treatment course, there will be a convalescence period of approximately 1 to 3 weeks.",3752,24000641,,,,,,
"During this period, it is important to continue refraining from these activities until advised otherwise by the treating physician.",3854,24000641,,,,,,
"CONSENT 
DEPARTMENT OF PSYCHIATRY AND BEHAVIORAL SCIENCES 
Patient Identification Information 
Consent for ElectroConvulsive Therapy",3989,24000641,,,,,,
"(ECT) Page 1 of 2 
Date: Patient Name (Print) 
1)",4122,24000641,,,,,,
"I, the undersigned, understand the potential benefits as well as the potential risks involved in treatment of my diagnosis of 
 by means of ECT.",4172,24000641,,,,,,
"I acknowledge that Dr. has explained the purpose of the procedure, the risks/benefits of the procedure, the alternatives with the risks and benefits and the possibility of complications.",4317,24000641,,,,,,
I hereby give my consent and authorize and request the staff of the Johns Hopkins Hospital to give a series of ECT treatments to me.,4506,24000641,['A'],I hereby give my consent and authorize and request the staff of the Johns Hopkins Hospital to give a series of ECT treatments to me.,['A'],I hereby give my consent and authorize and request the staff of the Johns Hopkins Hospital to give a series of ECT treatments to me.,['A'],I hereby give my consent and authorize and request the staff of the Johns Hopkins Hospital to give a series of ECT treatments to me.
My doctor intends to begin the treatment course with one of the following (check one):,4639,24000641,,,,,['C'],My doctor intends to begin the treatment course with one of the following (check one): Unilateral treatments: Specify right or left Bilateral treatments The lead placement may be altered during the treatment series based on the clinical response
Unilateral treatments:,4727,24000641,,,,,,
Specify right or left Bilateral treatments,4750,24000641,,,,,,
"The lead placement may be altered during the treatment series based on the clinical response 
2)",4797,24000641,,,,,,
The indications of ECT have been explained to me in a manner that I understand.,4894,24000641,,,['C'],"The indications of ECT have been explained to me in a manner that I understand. These include psychiatric disorders such as major depression, bipolar disorder, schizophrenia, catatonia and other conditions as explained by the provider.",,
"These include psychiatric disorders such as major depression, bipolar disorder, schizophrenia, catatonia and other conditions as explained by the provider.",4974,24000641,,,,,,
3),5131,24000641,,,,,,
The benefits and likelihood of success of ECT have been explained to me in a manner that I understand.,5134,24000641,,,,,,
These include improvement of mood and psychiatric condition.,5237,24000641,,,,,,
ECT has been shown to be a highly effective treatment.,5298,24000641,,,,,,
4),5354,24000641,,,,,,
The major risks and complications of ECT have been explained to me in a manner that I understand.,5357,24000641,,,,,,
"These may include such items as failure to obtain the desired result, discomfort, injury, need for additional treatment(s) and death.",5455,24000641,,,,,,
"Additional risks include: 
 ",5590,24000641,,,,,,
